Agency Name,City,State,Total_Expenditures_per_Pupil,Total_Current_Expenditures_per_Pupil,Instructional_Expenditures_per_Pupil
MURRAY COMM SCHOOL DISTRICT,Murray,IA,16716,12327,7571
MUSCATINE COMM SCHOOL DISTRICT,Muscatine,IA,11570,9680,6372
NASHUA-PLAINFIELD COMM SCHOOL DISTRICT,Nashua,IA,10588,9155,5908
NEVADA COMM SCHOOL DISTRICT,Nevada,IA,11424,9626,6041
NEW HAMPTON COMM SCHOOL DISTRICT,New Hampton,IA,11164,10011,6508
NEW LONDON COMM SCHOOL DISTRICT,New London,IA,13483,10604,6824
NEWELL-FONDA COMM SCHOOL DISTRICT,Newell,IA,14068,10514,6217
NEWTON COMM SCHOOL DISTRICT,Newton,IA,10642,9794,6061
NODAWAY VALLEY COMM SCHOOL DISTRICT,Greenfield,IA,11222,9869,6342
NORTH BUTLER COMM SCHOOL DISTRICT,Allison,IA,11635,9515,6057
NORTH CEDAR COMM SCHOOL DISTRICT,Stanwood,IA,16242,9297,5601
NORTH FAYETTE COMM SCHOOL DISTRICT,West Union,IA,13153,11055,7461
NORTH IOWA COMM SCHOOL DISTRICT,Buffalo Center,IA,12361,10713,6637
NORTH KOSSUTH COMM SCHOOL DISTRICT,Swea City,IA,16239,13325,9039
NORTH LINN COMM SCHOOL DISTRICT,Troy Mills,IA,10131,8353,5315
NORTH MAHASKA COMM SCHOOL DISTRICT,New Sharon,IA,12940,11024,7289
NORTH POLK COMM SCHOOL DISTRICT,Alleman,IA,10047,8672,5236
NORTH SCOTT COMM SCHOOL DISTRICT,Eldridge,IA,12384,9388,5961
NORTH TAMA COUNTY COMM SCHOOL DISTRICT,Traer,IA,12287,10403,6717
NORTH UNION COMM SCHOOL DISTRICT,Armstrong,IA,15816,12175,8068
NORTH WINNESHIEK COMM SCHOOL DISTRICT,Decorah,IA,12440,7997,4587
NORTHEAST COMM SCHOOL DISTRICT,Goose Lake,IA,23543,14616,8860
NORTHEAST HAMILTON COMM SCHOOL DISTRICT,Blairsburg,IA,11511,8775,5087
NORTHWOOD-KENSETT COMM SCHOOL DISTRICT,Northwood,IA,13029,10162,6486
