Agency Name,City,State,Total_Expenditures_per_Pupil,Total_Current_Expenditures_per_Pupil,Instructional_Expenditures_per_Pupil
WEST MONONA COMM SCHOOL DISTRICT,Onawa,IA,11369,9554,5588
WEST SIOUX COMM SCHOOL DISTRICT,Hawarden,IA,11777,9789,6525
WESTERN DUBUQUE COMM SCHOOL DISTRICT,Farley,IA,11648,10153,6507
WESTWOOD COMM SCHOOL DISTRICT,Sloan,IA,13472,10834,7137
WHITING COMM SCHOOL DISTRICT,Whiting,IA,15952,13245,8431
WILLIAMSBURG COMM SCHOOL DISTRICT,Williamsburg,IA,12620,9877,6513
WILTON COMM SCHOOL DISTRICT,Wilton,IA,19292,9321,5978
WINFIELD-MT UNION COMM SCHOOL DISTRICT,Winfield,IA,11964,10712,7066
WINTERSET COMM SCHOOL DISTRICT,Winterset,IA,10679,9222,5777
WOODBINE COMM SCHOOL DISTRICT,Woodbine,IA,12275,9524,6130
WOODBURY CENTRAL COMM SCHOOL DISTRICT,Moville,IA,11355,10105,6697
WOODWARD-GRANGER COMM SCHOOL DISTRICT,Granger,IA,20632,10113,6642
ALASKA GATEWAY SCHOOL DISTRICT,Tok,AK,35293,34521,18152
ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,Sand Point,AK,43195,40862,20663
ANCHORAGE SCHOOL DISTRICT,Anchorage,AK,19095,17046,10276
ANNETTE ISLAND SCHOOL DISTRICT,Metlakatla,AK,33798,26021,16992
BERING STRAIT SCHOOL DISTRICT,Unalakleet,AK,40905,38241,23267
BRISTOL BAY BOROUGH SCHOOL DISTRICT,Naknek,AK,35699,35000,15278
CHATHAM SCHOOL DISTRICT,Angoon,AK,31988,30756,14953
CHUGACH SCHOOL DISTRICT,Anchorage,AK,25386,21929,15909
COPPER RIVER SCHOOL DISTRICT,Glennallen,AK,22348,21905,11466
CORDOVA CITY SCHOOL DISTRICT,Cordova,AK,23507,21755,11650
CRAIG CITY SCHOOL DISTRICT,Craig,AK,16035,15951,7579
DELTA-GREELY SCHOOL DISTRICT,Delta Junction,AK,18716,18402,10156
DENALI BOROUGH SCHOOL DISTRICT,Healy,AK,12449,12235,6418
DILLINGHAM CITY SCHOOL DISTRICT,Dillingham,AK,32164,30092,17906
FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT,Fairbanks,AK,20076,19725,11445
GALENA CITY SCHOOL DISTRICT,Galena,AK,7977,7261,3597
HAINES BOROUGH SCHOOL DISTRICT,Haines,AK,25170,23458,15077
HOONAH CITY SCHOOL DISTRICT,Hoonah,AK,45043,41974,24274
HYDABURG CITY SCHOOL DISTRICT,Hydaburg,AK,36475,33825,16988
IDITAROD AREA SCHOOL DISTRICT,McGrath,AK,29091,27982,13991
JUNEAU BOROUGH SCHOOL DISTRICT,Juneau,AK,20618,19309,11852
KAKE CITY SCHOOL DISTRICT,Kake,AK,36694,34721,18117
KASHUNAMIUT SCHOOL DISTRICT,Chevak,AK,33460,32238,14404
KENAI PENINSULA BOROUGH SCHOOL DISTRICT,Soldotna,AK,20604,20177,12048
KETCHIKAN GATEWAY BOROUGH SCHOOL DISTRICT,Ketchikan,AK,21186,20145,12816
KLAWOCK CITY SCHOOL DISTRICT,Klawock,AK,36236,35634,21398
KODIAK ISLAND BOROUGH SCHOOL DISTRICT,Kodiak,AK,24316,22587,11222
KUSPUK SCHOOL DISTRICT,Aniak,AK,34725,33106,17171
LAKE AND PENINSULA BOROUGH SCHOOL DISTRICT,King Salmon,AK,94134,51215,24707
LOWER KUSKOKWIM SCHOOL DISTRICT,Bethel,AK,41456,33064,14986
LOWER YUKON SCHOOL DISTRICT,Mountain Village,AK,37510,32455,15724
MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,Palmer,AK,21835,16965,9821
MOUNT EDGECUMBE HIGH SCHOOL AGENCY,Sitka,AK,29672,26162,11432
NENANA CITY SCHOOL DISTRICT,Nenana,AK,10622,10565,5396
NOME PUBLIC SCHOOLS,Nome,AK,26132,24716,12253
NORTH SLOPE BOROUGH SCHOOL DISTRICT,Utqiagvik,AK,41745,40833,16957
NORTHWEST ARCTIC BOROUGH SCHOOL DISTRICT,Kotzebue,AK,40288,35863,15667
PELICAN CITY SCHOOL DISTRICT,Pelican,AK,48462,43000,16308
PETERSBURG BOROUGH SCHOOL DISTRICT,Petersburg,AK,28372,24721,14025
PRIBILOF SCHOOL DISTRICT,St. Paul Island,AK,39207,34185,17087
SAINT MARY'S SCHOOL DISTRICT,Saint Mary's,AK,59585,28542,14783
SITKA SCHOOL DISTRICT,Sitka,AK,25491,21429,14720
SKAGWAY SCHOOL DISTRICT,Skagway,AK,31220,30600,17200
SOUTHEAST ISLAND SCHOOL DISTRICT,Thorne Bay,AK,48835,46005,22885
SOUTHWEST REGION SCHOOL DISTRICT,Dillingham,AK,54789,36860,13782
TANANA CITY SCHOOL DISTRICT,Tanana,AK,49590,46846,23205
UNALASKA CITY SCHOOL DISTRICT,Unalaska,AK,28098,24900,15198
VALDEZ CITY SCHOOL DISTRICT,Valdez,AK,34284,29017,16893
WRANGELL PUBLIC SCHOOL DISTRICT,Wrangell,AK,25567,24726,14069
YAKUTAT SCHOOL DISTRICT,Yakutat,AK,30162,29859,17525
YUKON FLATS SCHOOL DISTRICT,Fort Yukon,AK,53525,52049,20627
YUKON-KOYUKUK SCHOOL DISTRICT,Fairbanks,AK,17246,16712,9353
YUPIIT SCHOOL DISTRICT,Akiachak,AK,35466,35374,15930
ALABASTER CITY,Alabaster,AL,12327,9636,5747
ALBERTVILLE CITY,Albertville,AL,9570,8076,4585
ALEXANDER CITY,Alexander City,AL,9027,8627,5382
ANDALUSIA CITY,Andalusia,AL,9167,8765,5245
ANNISTON CITY,Anniston,AL,11269,10988,5819
ARAB CITY,Arab,AL,9805,9076,5753
ATHENS CITY,Athens,AL,11173,10504,6242
ATTALLA CITY,Attalla,AL,8918,8549,5060
AUBURN CITY,Auburn,AL,10773,8878,5215
AUTAUGA COUNTY,Prattville,AL,7871,7541,4562
BALDWIN COUNTY,Bay Minette,AL,9710,8822,5087
BARBOUR COUNTY,Clayton,AL,11150,10764,5675
BESSEMER CITY,Bessemer,AL,10456,9996,5270
BIBB COUNTY,Centreville,AL,9322,8624,4718
BIRMINGHAM CITY,Birmingham,AL,11040,10147,5470
BLOUNT COUNTY,Oneonta,AL,8685,8006,4699
BOAZ CITY,Boaz,AL,10030,9297,5096
BREWTON CITY,Brewton,AL,13934,9120,5709
BULLOCK COUNTY,Union Springs,AL,11277,10918,5489
BUTLER COUNTY,Greenville,AL,9964,9134,4954
CALHOUN COUNTY,Anniston,AL,9564,8930,4879
CHAMBERS COUNTY,Lafayette,AL,10421,8925,4759
CHEROKEE COUNTY,Centre,AL,9817,9072,5182
CHICKASAW CITY,Chickasaw,AL,8975,8347,4689
CHILTON COUNTY,Clanton,AL,8414,8144,4940
CHOCTAW COUNTY,Butler,AL,11232,9451,4530
CLARKE COUNTY,Grove Hill,AL,11949,9420,4896
CLAY COUNTY,Ashland,AL,9130,8438,5034
CLEBURNE COUNTY,Heflin,AL,9275,8735,4966
COFFEE COUNTY,Elba,AL,10420,9122,4986
COLBERT COUNTY,Tuscumbia,AL,11006,10481,5714
CONECUH COUNTY,Evergreen,AL,12542,12111,5884
COOSA COUNTY,Rockford,AL,10121,9766,4940
COVINGTON COUNTY,Andalusia,AL,9319,8574,5069
CRENSHAW COUNTY,Luverne,AL,9786,8547,5065
CULLMAN CITY,Cullman,AL,10398,9239,5996
CULLMAN COUNTY,Cullman,AL,9575,8930,5181
DALE COUNTY,Ozark,AL,8887,8266,4861
DALEVILLE CITY,Daleville,AL,10751,9496,5113
DALLAS COUNTY,Selma,AL,10960,10687,5399
DECATUR CITY,Decatur,AL,11107,9926,6192
DEKALB COUNTY,Rainsville,AL,9177,8654,5119
DEMOPOLIS CITY,Demopolis,AL,9824,8706,5358
DOTHAN CITY,Dothan,AL,9298,8978,5429
ELBA CITY,Elba,AL,11644,11184,6191
ELMORE COUNTY,Wetumpka,AL,8811,7791,4684
ENTERPRISE CITY,Enterprise,AL,9561,8584,4720
ESCAMBIA COUNTY,Brewton,AL,11620,9514,5163
ETOWAH COUNTY,Gadsden,AL,10061,8086,4668
EUFAULA CITY,Eufaula,AL,9050,8566,5262
FAIRFIELD CITY,Fairfield,AL,10335,9514,5001
FAYETTE COUNTY,Fayette,AL,9090,8702,4769
FLORENCE CITY,Florence,AL,11826,10448,6098
FORT PAYNE CITY,Fort Payne,AL,8568,7961,4880
FRANKLIN COUNTY,Russellville,AL,10571,9261,5344
GADSDEN CITY,Gadsden,AL,9702,9186,5240
GENEVA CITY,Geneva,AL,9647,8608,5197
GENEVA COUNTY,Geneva,AL,10616,8494,4889
GREENE COUNTY,Eutaw,AL,12469,10227,4659
GUNTERSVILLE CITY,Guntersville,AL,10045,9301,5326
HALE COUNTY,Greensboro,AL,12012,9282,5305
HALEYVILLE CITY,Haleyville,AL,9538,9036,5389
HARTSELLE CITY,Hartselle,AL,9772,9228,5728
HENRY COUNTY,Abbeville,AL,9066,8344,4739
HOMEWOOD CITY,Homewood,AL,12146,11340,7245
HOOVER CITY,Birmingham,AL,11646,10731,6535
HOUSTON COUNTY,Dothan,AL,9139,8435,4911
HUNTSVILLE CITY,Huntsville,AL,14260,10376,5826
JACKSON COUNTY,Scottsboro,AL,12526,9564,5013
JACKSONVILLE CITY,Jacksonville,AL,12484,8932,5223
JASPER CITY,Jasper,AL,10053,9435,5855
JEFFERSON COUNTY,Birmingham,AL,9361,8793,5045
LAMAR COUNTY,Vernon,AL,9098,8406,4557
LANETT CITY,Lanett,AL,9374,9040,5363
LAUDERDALE COUNTY,Florence,AL,8962,8556,5316
LAWRENCE COUNTY,Moulton,AL,10235,9000,5073
LEE COUNTY,Opelika,AL,9263,8721,5230
LEEDS CITY,Leeds,AL,10167,8568,4998
LIMESTONE COUNTY,Athens,AL,11702,9365,5548
LINDEN CITY,Linden,AL,9055,8810,4553
LOWNDES COUNTY,Hayneville,AL,14633,13761,6741
MACON COUNTY,Tuskegee,AL,12454,11332,5235
MADISON CITY,Madison,AL,11744,9261,5357
MADISON COUNTY,Huntsville,AL,9247,8345,4881
MARENGO COUNTY,Linden,AL,10416,9771,5098
MARION COUNTY,Hamilton,AL,10691,8595,5169
MARSHALL COUNTY,Guntersville,AL,10358,9358,4902
MIDFIELD CITY,Midfield,AL,11075,10167,4792
MOBILE COUNTY,Mobile,AL,10175,9015,4757
MONROE COUNTY,Monroeville,AL,9390,8809,5052
MONTGOMERY COUNTY,Montgomery,AL,8906,8453,4753
MORGAN COUNTY,Decatur,AL,12133,9125,5019
MOUNTAIN BROOK CITY,Mountain Brk,AL,12941,12324,7795
MUSCLE SHOALS CITY,Muscle Shoals,AL,10072,9333,5388
ONEONTA CITY,Oneonta,AL,8449,7768,4692
OPELIKA CITY,Opelika,AL,11085,10080,6088
OPP CITY,Opp,AL,9952,8948,4887
OXFORD CITY,Oxford,AL,10050,9118,5392
OZARK CITY,Ozark,AL,9822,9380,5105
PELHAM CITY,Pelham,AL,13778,9327,5498
PELL CITY,Pell City,AL,9562,8496,5004
PERRY COUNTY,Marion,AL,9976,9461,5238
PHENIX CITY,Phenix City,AL,9617,8594,4899
PICKENS COUNTY,Carrollton,AL,9752,9329,5275
PIEDMONT CITY,Piedmont,AL,9418,8706,5054
PIKE COUNTY,Troy,AL,10580,10181,5254
RANDOLPH COUNTY,Wedowee,AL,9414,9045,5243
ROANOKE CITY,Roanoke,AL,8913,8372,5132
RUSSELL COUNTY,Phenix City,AL,8859,8252,4488
RUSSELLVILLE CITY,Russellville,AL,9677,8977,5310
SARALAND CITY,Saraland,AL,9512,7799,4307
SATSUMA CITY,Satsuma,AL,10450,8886,4636
SCOTTSBORO CITY,Scottsboro,AL,10307,9340,5275
SELMA CITY,Selma,AL,9955,9290,5306
SHEFFIELD CITY,Sheffield,AL,13033,10643,6104
SHELBY COUNTY,Columbiana,AL,10667,9480,5425
ST CLAIR COUNTY,Ashville,AL,8818,8083,4864
SUMTER COUNTY,Livingston,AL,11734,10576,5115
SYLACAUGA CITY,Sylacauga,AL,12251,9548,5591
TALLADEGA CITY,Talladega,AL,9955,9670,5503
TALLADEGA COUNTY,Talladega,AL,9700,8948,4548
TALLAPOOSA COUNTY,Dadeville,AL,9530,8878,5069
TALLASSEE CITY,Tallassee,AL,8728,8373,5319
TARRANT CITY,Tarrant,AL,10496,9979,4693
THOMASVILLE CITY,Thomasville,AL,9983,9513,5278
TROY CITY,Troy,AL,9409,8692,5444
TRUSSVILLE CITY,Trussville,AL,12361,9541,5291
TUSCALOOSA CITY,Tuscaloosa,AL,11811,10445,5533
TUSCALOOSA COUNTY,Tuscaloosa,AL,9314,8715,5013
TUSCUMBIA CITY,Tuscumbia,AL,9687,8907,4847
VESTAVIA HILLS CITY,Vestavia Hills,AL,11803,10348,6551
WALKER COUNTY,Jasper,AL,9888,9119,5138
WASHINGTON COUNTY,Chatom,AL,9295,8877,5306
WILCOX COUNTY,Camden,AL,10912,10293,5230
WINFIELD CITY,Winfield,AL,11216,8965,5443
WINSTON COUNTY,Double Springs,AL,11334,10713,4944
ACADEMICS PLUS CHARTER SCHOOL,MAUMELLE,AR,7619,7397,3692
ALMA SCHOOL DISTRICT,ALMA,AR,9418,8846,5201
ALPENA SCHOOL DISTRICT,ALPENA,AR,8740,8492,4987
ARKADELPHIA SCHOOL DISTRICT,ARKADELPHIA,AR,10484,9660,5274
ARKANSAS VIRTUAL ACADEMY,LITTLE ROCK,AR,6760,6729,4750
ARMOREL SCHOOL DISTRICT,ARMOREL,AR,11628,10178,6129
ASHDOWN SCHOOL DISTRICT,ASHDOWN,AR,10186,9723,5080
ATKINS SCHOOL DISTRICT,ATKINS,AR,10443,9480,5730
AUGUSTA SCHOOL DISTRICT,AUGUSTA,AR,14118,13455,6863
BALD KNOB SCHOOL DISTRICT,BALD KNOB,AR,10286,9166,5134
BARTON-LEXA SCHOOL DISTRICT,BARTON,AR,9124,8884,5517
BATESVILLE SCHOOL DISTRICT,BATESVILLE,AR,10274,8929,4937
BAUXITE SCHOOL DISTRICT,BAUXITE,AR,13082,7964,4655
BAY SCHOOL DISTRICT,BAY,AR,9824,9502,5189
BEARDEN SCHOOL DISTRICT,BEARDEN,AR,10301,9817,5467
BEEBE SCHOOL DISTRICT,BEEBE,AR,9515,8547,5077
BENTON COUNTY SCHOOL OF ARTS,ROGERS,AR,8458,7737,4453
BENTON SCHOOL DISTRICT,BENTON,AR,8737,7711,4596
BENTONVILLE SCHOOL DISTRICT,BENTONVILLE,AR,12444,9466,5779
BERGMAN SCHOOL DISTRICT,BERGMAN,AR,8179,7669,4847
BERRYVILLE SCHOOL DISTRICT,BERRYVILLE,AR,8934,8533,4969
BISMARCK SCHOOL DISTRICT,BISMARCK,AR,10448,8943,5236
BLEVINS SCHOOL DISTRICT,BLEVINS,AR,12053,10467,5778
BLYTHEVILLE SCHOOL DISTRICT,BLYTHEVILLE,AR,11312,10948,6123
BOONEVILLE SCHOOL DISTRICT,BOONEVILLE,AR,10663,9347,5299
BRADFORD SCHOOL DISTRICT,BRADFORD,AR,10000,9564,5461
BRINKLEY SCHOOL DISTRICT,BRINKLEY,AR,10939,10791,5311
BROOKLAND SCHOOL DISTRICT,BROOKLAND,AR,11559,7936,5015
BRYANT SCHOOL DISTRICT,BRYANT,AR,9127,7880,4879
BUFFALO IS. CENTRAL SCH. DIST.,MONETTE,AR,9123,8880,5661
CABOT SCHOOL DISTRICT,CABOT,AR,9399,8722,5069
CADDO HILLS SCHOOL DISTRICT,NORMAN,AR,9724,9472,5223
CALICO ROCK SCHOOL DISTRICT,CALICO ROCK,AR,11215,10399,5399
CAMDEN FAIRVIEW SCHOOL DIST.,CAMDEN,AR,11010,10686,4663
CARLISLE SCHOOL DISTRICT,CARLISLE,AR,9353,8763,5039
CAVE CITY SCHOOL DISTRICT,CAVE CITY,AR,9705,8411,4996
CEDAR RIDGE SCHOOL DISTRICT,NEWARK,AR,12794,11984,6417
CEDARVILLE SCHOOL DISTRICT,CEDARVILLE,AR,10160,9657,5056
CENTERPOINT SCHOOL DISTRICT,AMITY,AR,9820,8941,5136
CHARLESTON SCHOOL DISTRICT,CHARLESTON,AR,8894,8071,5017
CLARENDON SCHOOL DISTRICT,CLARENDON,AR,11747,11427,6070
CLARKSVILLE SCHOOL DISTRICT,CLARKSVILLE,AR,9564,9109,5416
CLEVELAND COUNTY SCHOOL DIST.,RISON,AR,9245,8416,4441
CLINTON SCHOOL DISTRICT,CLINTON,AR,12423,10656,6118
CONCORD SCHOOL DISTRICT,CONCORD,AR,11493,10834,5710
CONWAY SCHOOL DISTRICT,CONWAY,AR,9964,9101,5123
CORNING SCHOOL DISTRICT,CORNING,AR,9462,9193,4981
COSSATOT RIVER SCHOOL DISTRICT,WICKES,AR,10547,9940,5297
COTTER SCHOOL DISTRICT,COTTER,AR,9313,8925,5632
COUNTY LINE SCHOOL DISTRICT,BRANCH,AR,9130,8716,5176
COVENANT KEEPERS MIDDLE CHARTER,LITTLE ROCK,AR,11713,11713,4541
CROSS COUNTY SCHOOL DISTRICT,CHERRY VALLEY,AR,12455,10667,5050
CROSSETT SCHOOL DISTRICT,CROSSETT,AR,9109,8845,4894
CUTTER-MORNING STAR SCH. DIST.,HOT SPRINGS,AR,9725,9320,5040
DANVILLE SCHOOL DISTRICT,DANVILLE,AR,15049,9668,5452
DARDANELLE SCHOOL DISTRICT,DARDANELLE,AR,9857,9430,5422
DECATUR SCHOOL DISTRICT,DECATUR,AR,11844,9933,5527
DEER/MT. JUDEA SCHOOL DISTRICT,DEER,AR,13977,12668,6860
DEQUEEN SCHOOL DISTRICT,DE QUEEN,AR,9667,9132,5330
DERMOTT SCHOOL DISTRICT,DERMOTT,AR,12767,12151,5812
DES ARC SCHOOL DISTRICT,DES ARC,AR,10126,9017,5174
DEWITT SCHOOL DISTRICT,DEWITT,AR,9967,9181,5274
DIERKS SCHOOL DISTRICT,DIERKS,AR,9642,9154,5614
DOLLARWAY SCHOOL DISTRICT,PINE BLUFF,AR,12709,11350,5572
DOVER SCHOOL DISTRICT,DOVER,AR,9400,8692,4884
DREW CENTRAL SCHOOL DISTRICT,MONTICELLO,AR,9852,9376,5408
DUMAS SCHOOL DISTRICT,DUMAS,AR,10081,9658,5452
EARLE SCHOOL DISTRICT,EARLE,AR,12593,12251,6384
EAST END SCHOOL DISTRICT,BIGELOW,AR,9544,8948,4821
EAST POINSETT CO. SCHOOL DIST.,LEPANTO,AR,9673,8769,5146
EL DORADO SCHOOL DISTRICT,EL DORADO,AR,8880,8468,4491
ELKINS SCHOOL DISTRICT,ELKINS,AR,9857,8961,4692
EMERSON-TAYLOR SCHOOL DISTRICT,EMERSON,AR,11106,10187,6047
ENGLAND SCHOOL DISTRICT,ENGLAND,AR,9593,9011,5038
ESTEM HIGH CHARTER,LITTLE ROCK,AR,7932,7791,4062
EUREKA SPRINGS SCHOOL DISTRICT,EUREKA SPRINGS,AR,13407,11991,6331
EXALT ACADEMY OF SOUTHWEST LITTLE ROCK,LITTLE ROCK,AR,10732,10027,5321
FARMINGTON SCHOOL DISTRICT,FARMINGTON,AR,11866,8206,4818
FAYETTEVILLE SCHOOL DISTRICT,FAYETTEVILLE,AR,11808,10308,6169
FLIPPIN SCHOOL DISTRICT,FLIPPIN,AR,10156,9403,5724
FORDYCE SCHOOL DISTRICT,FORDYCE,AR,11658,8661,4935
FOREMAN SCHOOL DISTRICT,FOREMAN,AR,10193,9855,4990
FORREST CITY SCHOOL DISTRICT,FORREST CITY,AR,11929,11305,6239
FORT SMITH SCHOOL DISTRICT,FORT SMITH,AR,10991,9721,5471
FOUKE SCHOOL DISTRICT,FOUKE,AR,9182,8641,4942
FOUNTAIN LAKE SCHOOL DISTRICT,HOT SPRINGS,AR,11774,10878,5805
GENOA CENTRAL SCHOOL DISTRICT,TEXARKANA,AR,8577,8088,4917
GENTRY SCHOOL DISTRICT,GENTRY,AR,10623,10047,5428
GLEN ROSE SCHOOL DISTRICT,MALVERN,AR,9363,8539,5062
GOSNELL SCHOOL DISTRICT,GOSNELL,AR,9806,8826,4994
GRAVETTE SCHOOL DISTRICT,GRAVETTE,AR,9323,8748,5242
GREEN FOREST SCHOOL DISTRICT,GREEN FOREST,AR,10808,9789,5256
GREENBRIER SCHOOL DISTRICT,GREENBRIER,AR,9091,8094,4928
GREENE CO. TECH SCHOOL DIST.,PARAGOULD,AR,9249,8621,4825
GREENLAND SCHOOL DISTRICT,GREENLAND,AR,11095,9405,5222
GREENWOOD SCHOOL DISTRICT,GREENWOOD,AR,9507,8756,5097
GURDON SCHOOL DISTRICT,GURDON,AR,10517,10201,5665
GUY-PERKINS SCHOOL DISTRICT,GUY,AR,10610,10374,5434
HAAS HALL ACADEMY,FAYETTEVILLE,AR,7122,7016,4322
HACKETT SCHOOL DISTRICT,HACKETT,AR,9093,8854,5082
HAMBURG SCHOOL DISTRICT,HAMBURG,AR,9905,8868,5011
HAMPTON SCHOOL DISTRICT,HAMPTON,AR,11449,10709,5110
HARMONY GROVE SCHOOL DISTRICT,CAMDEN,AR,9922,9072,5017
HARMONY GROVE SCHOOL DISTRICT,CAMDEN,AR,8730,8149,4826
HARRISBURG SCHOOL DISTRICT,HARRISBURG,AR,10796,10393,5674
HARRISON SCHOOL DISTRICT,HARRISON,AR,10306,9192,5189
HARTFORD SCHOOL DISTRICT,HARTFORD,AR,11419,11012,5401
HAZEN SCHOOL DISTRICT,HAZEN,AR,16095,9402,5589
HEBER SPRINGS SCHOOL DISTRICT,HEBER SPRINGS,AR,14132,9240,5219
HECTOR SCHOOL DISTRICT,HECTOR,AR,10215,9542,5345
HELENA/ W.HELENA SCHOOL DIST.,HELENA,AR,12149,11243,5537
HERMITAGE SCHOOL DISTRICT,HERMITAGE,AR,12211,11687,6295
HIGHLAND SCHOOL DISTRICT,HARDY,AR,9380,8691,4854
HILLCREST SCHOOL DISTRICT,STRAWBERRY,AR,10032,9665,4321
HOPE SCHOOL DISTRICT,HOPE,AR,10091,9511,5345
HORATIO SCHOOL DISTRICT,HORATIO,AR,9474,8871,5025
HOT SPRINGS SCHOOL DISTRICT,HOT SPRINGS,AR,11977,11640,6499
HOXIE SCHOOL DISTRICT,HOXIE,AR,10384,9811,5766
HUNTSVILLE SCHOOL DISTRICT,HUNTSVILLE,AR,9166,8911,5204
IMBODEN CHARTER SCHOOL DISTRICT,IMBODEN,AR,8578,8484,4047
IZARD CO. CONS. SCHOOL DIST.,BROCKWELL,AR,10912,10608,5676
JACKSON CO. SCHOOL DISTRICT,TUCKERMAN,AR,10761,8579,4612
JACKSONVILLE LIGHTHOUSE CHARTER,LITTLE ROCK,AR,8013,7898,3755
JASPER SCHOOL DISTRICT,JASPER,AR,13103,11103,5844
JESSIEVILLE SCHOOL DISTRICT,JESSIEVILLE,AR,11071,9884,5143
JONESBORO SCHOOL DISTRICT,JONESBORO,AR,9297,8624,4729
JUNCTION CITY SCHOOL DISTRICT,JUNCTION CITY,AR,9415,8835,4857
KIPP DELTA PUBLIC SCHOOLS,HELENA,AR,12550,11093,4484
KIRBY SCHOOL DISTRICT,KIRBY,AR,10148,9722,5695
LAFAYETTE COUNTY SCHOOL DISTRICT,LEWISVILLE,AR,10774,10499,5704
LAKE HAMILTON SCHOOL DISTRICT,PEARCY,AR,14031,8616,4955
LAKESIDE SCHOOL DISTRICT,HOT SPRINGS,AR,9921,8725,5013
LAKESIDE SCHOOL DISTRICT (CHICOT COUNTY),LAKE VILLAGE,AR,11131,11054,6015
LAMAR SCHOOL DISTRICT,LAMAR,AR,8445,8069,5024
LAVACA SCHOOL DISTRICT,LAVACA,AR,9119,8529,4673
LAWRENCE COUNTY SCHOOL DISTRICT,WALNUT RIDGE,AR,9598,8955,5094
LEAD HILL SCHOOL DISTRICT,LEAD HILL,AR,9795,9485,4947
LEE COUNTY SCHOOL DISTRICT,MARIANNA,AR,13266,12289,5796
LINCOLN SCHOOL DISTRICT,LINCOLN,AR,10213,9325,4994
LISA ACADEMY CHARTER,LITTLE ROCK,AR,7362,7116,3851
LITTLE ROCK PREPARATORY ACADEMY,LITTLE ROCK,AR,8932,8776,4095
LITTLE ROCK SCHOOL DISTRICT,LITTLE ROCK,AR,14223,12989,7056
LONOKE SCHOOL DISTRICT,LONOKE,AR,10509,8875,4910
MAGAZINE SCHOOL DISTRICT,MAGAZINE,AR,9894,9075,4861
MAGNET COVE SCHOOL DIST.,MALVERN,AR,9869,8891,4583
MAGNOLIA SCHOOL DISTRICT,MAGNOLIA,AR,8585,8326,4906
MALVERN SCHOOL DISTRICT,MALVERN,AR,13375,10100,5590
MAMMOTH SPRING SCHOOL DISTRICT,MAMMOTH SPRING,AR,9728,9276,5595
MANILA SCHOOL DISTRICT,MANILA,AR,9096,8879,5400
MANSFIELD SCHOOL DISTRICT,MANSFIELD,AR,9729,9184,5100
MARION SCHOOL DISTRICT,MARION,AR,10399,8266,5034
MARKED TREE SCHOOL DISTRICT,MARKED TREE,AR,9846,9733,5016
MARMADUKE SCHOOL DISTRICT,MARMADUKE,AR,8518,8236,4590
MARVELL SCHOOL DISTRICT,MARVELL,AR,16504,15937,9144
MAYFLOWER SCHOOL DISTRICT,MAYFLOWER,AR,8882,8537,4894
MAYNARD SCHOOL DISTRICT,MAYNARD,AR,9889,9416,5455
MCCRORY SCHOOL DISTRICT,MCCRORY,AR,10293,9591,5915
MCGEHEE SCHOOL DISTRICT,MCGEHEE,AR,10344,10004,5510
MELBOURNE SCHOOL DISTRICT,MELBOURNE,AR,10287,9389,5605
MENA SCHOOL DISTRICT,MENA,AR,9829,9237,5477
MIDLAND SCHOOL DISTRICT,PLEASANT PLAINS,AR,10412,9840,5447
MINERAL SPRINGS SCHOOL DIST.,MINERAL SPRINGS,AR,16510,15323,8135
MONTICELLO SCHOOL DISTRICT,MONTICELLO,AR,11278,9453,5510
MOUNT IDA SCHOOL DISTRICT,MOUNT IDA,AR,10424,9957,5389
MOUNTAIN HOME SCHOOL DISTRICT,MOUNTAIN HOME,AR,9245,8640,5120
MOUNTAIN PINE SCHOOL DISTRICT,MOUNTAIN PINE,AR,11413,11059,5058
MOUNTAIN VIEW SCHOOL DISTRICT,MOUNTAIN  VIEW,AR,9160,8954,5561
MOUNTAINBURG SCHOOL DISTRICT,MOUNTAINBURG,AR,11077,9683,5249
MT. VERNON/ENOLA SCHOOL DIST.,MT VERNON,AR,9753,9000,4925
MULBERRY SCHOOL DISTRICT,MULBERRY,AR,11240,10959,5546
N. LITTLE ROCK SCHOOL DISTRICT,NORTH LITTLE ROCK,AR,21110,9360,5251
NASHVILLE SCHOOL DISTRICT,NASHVILLE,AR,9776,8944,5618
NEMO VISTA SCHOOL DISTRICT,CENTER RIDGE,AR,13646,12039,6035
NETTLETON SCHOOL DISTRICT,JONESBORO,AR,12833,9351,5410
NEVADA SCHOOL DISTRICT,ROSSTON,AR,9788,9623,5433
NEWPORT SCHOOL DISTRICT,NEWPORT,AR,14870,10363,6032
NORFORK SCHOOL DISTRICT,NORFORK,AR,11396,11095,6133
OMAHA SCHOOL DISTRICT,OMAHA,AR,10350,9532,5479
OSCEOLA SCHOOL DISTRICT,OSCEOLA,AR,11721,10308,4687
OUACHITA RIVER SCHOOL DISTRICT,MENA,AR,9352,9057,4659
OUACHITA SCHOOL DISTRICT,DONALDSON,AR,8913,7963,4618
OZARK MOUNTAIN SCHOOL DISTRICT,ST JOE,AR,12440,12068,6300
OZARK SCHOOL DISTRICT,OZARK,AR,9442,8680,5082
PALESTINE-WHEATLEY SCH. DIST.,PALESTINE,AR,8077,7386,4345
PANGBURN SCHOOL DISTRICT,PANGBURN,AR,12210,10064,5883
